Марка и модель,Выигрышная ставка,Записей о продаже,VIN,Пробег,Дата аукциона,Двигатель,Цвет,Коробка передач,Топливо,Привод,Ключи,Состояние,Место продажи,Стоимость ремонта,Рыночная стоимость,Документы,Тип повреждения,Основное повреждение,Кузов,Второстепенное повреждение
2021 Honda Hr-v Sport,$ 7 800 USD,1,3CZRU5H18MM720715,50 454 mi(подтвержден),15.05.2024 19:00 UTC,1.8l 4,Белый,Автоматическая,Бензин,передний привод,Ключи присутствуют,,""SUN VALLEY, CALIFORNIA"",$ 15 707 USD,$ 20 675 USD,CA - SALVAGE CERTIFICATE,Вода/Наводнение,Вода/Наводнение,,
2008 Gmc Envoy Denali,$ 700 USD,1,1GKES63M282100882,297 342 mi,15.05.2024 17:00 UTC,5.3l 8,Серый,Автоматическая,Бензин,4х4 с задним приводом,Ключи присутствуют,заводится и едет,""LEBANON, TENNESSEE"",$ 2 234 USD,$ 6 450 USD,TN - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,Повреждение задней части
2016 Ford Transit T-350,$ 4 250 USD,2,1FTBW3XG8GKA74194,260 055 mi(подтвержден),15.05.2024 16:00 UTC,3.5l 6,Белый,Автоматическая,Бензин,задний привод,Ключи присутствуют,заводится и едет,""WOODBURN, OREGON"",$ 0 USD,$ 27 300 USD,OR - CERTIFICATE OF TITLE,Пожертвование,Повреждение стороны,,Повреждение задней части
2020 Mercedes-benz Sprinter 1500,$ 5 000 USD,3,W1Y70BGY1LT032377,62 650 mi(подтвержден),15.05.2024 16:00 UTC,2.0l 4,Белый,Автоматическая,Бензин,задний привод,Ключи присутствуют,двигатель запускается,""RANCHO CUCAMONGA, CALIFORNIA"",$ 12 475 USD,$ 0 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,
2020 Audi S3 Premium,$ 6 800 USD,1,WAUB1GFFXLA100581,,15.05.2024 18:00 UTC,2.0l 4,Синий,Автоматическая,Бензин,Полный привод,Ключи присутствуют,улучшенные транспортные средства,""COLORADO SPRINGS, COLORADO"",$ 25 397 USD,$ 33 175 USD,CO - SALVAGE TITLE,Столкновение,Повреждение передней части,,
2017 Toyota Yaris Ia,$ 2 200 USD,1,3MYDLBYV8HY169965,,15.05.2024 19:00 UTC,1.5l 4,Серый,Автоматическая,Бензин,передний привод,Ключи присутствуют,,""SUN VALLEY, CALIFORNIA"",$ 0 USD,$ 12 100 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,
2019 Ford Transit Connect Xlt,$ 2 200 USD,2,NM0LS7F21K1383756,159 724 mi(подтвержден),15.05.2024 16:00 UTC,2.0l 4,Белый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""HAYWARD, CALIFORNIA"",$ 18 305 USD,$ 24 450 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,
2017 Ford F150 Supercrew,$ 5 900 USD,2,1FTEW1EPXHKE35348,,15.05.2024 18:00 UTC,2.7l 6,Черный,Автоматическая,Бензин,4х4 с задним приводом,,улучшенные транспортные средства,""COLORADO SPRINGS, COLORADO"",$ 22 784 USD,$ 31 500 USD,CO - SALVAGE TITLE,Пожар,Пожар в салоне,пикап экипажа,
2023 Hyundai Sonata Sel,$ 13 600 USD,1,KMHL64JA4PA314180,18 786 mi(подтвержден),15.05.2024 16:00 UTC,2.5l 4,Серый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""MIAMI, FLORIDA"",$ 6 008 USD,$ 25 425 USD,FL - CERTIFICATE OF TITLE,Аренда,Повреждение передней части,,
2017 Ram Promaster 3500 3500 High,$ 2 400 USD,2,3C6URVJG3HE551968,136 712 mi(подтвержден),15.05.2024 16:00 UTC,3.6l 6,Белый,Автоматическая,Этанолосодержащий бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,""LOS ANGELES, CALIFORNIA"",$ 24 448 USD,$ 27 200 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,Повреждение стороны
2023 Nissan Rogue Sv,$ 9 300 USD,1,JN8BT3BB9PW461113,11 247 mi(подтвержден),15.05.2024 17:00 UTC,1.5l 3,Серый,,Бензин,Полный привод,Ключи присутствуют,заводится и едет,""LEBANON, TENNESSEE"",$ 25 251 USD,$ 29 825 USD,TN - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,Повреждение стороны
2016 Nissan Sentra S,$ 525 USD,1,3N1AB7AP9GY266462,107 432 mi(подтвержден),15.05.2024 17:00 UTC,1.8l 4,Серый,Автоматическая,Бензин,передний привод,,улучшенные транспортные средства,""LEBANON, TENNESSEE"",$ 15 982 USD,$ 8 625 USD,TN - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,Незначительная вмятина/царапины
2016 Ford Fusion Se,$ 2 800 USD,8,3FA6P0H70GR113907,170 673 mi(подтвержден),15.05.2024 19:00 UTC,2.5l 4,Серебряный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""PHOENIX, ARIZONA"",$ 0 USD,$ 10 025 USD,AZ - CERT OF TITLE-RESTORED SALVAGE,Публичный коносамент,Нормальный износ,,
2020 Nissan Nv200 2.5s,$ 1 550 USD,1,3N6CM0KN5LK700018,159 348 mi(подтвержден),15.05.2024 16:00 UTC,2.0l 4,Белый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""MENTONE, CALIFORNIA"",$ 17 901 USD,$ 0 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,
2023 Kia K5 Lxs,$ 1 950 USD,1,5XXG14J29PG220698,,15.05.2024 16:00 UTC,1.6l 4,Белый,Автоматическая,Бензин,передний привод,,,""SACRAMENTO, CALIFORNIA"",$ 0 USD,$ 26 000 USD,CA - NON-REPAIRABLE VEHICLE CERT,Аренда,Повсюду,,
2012 Ford F550 Super Duty,$ 1 750 USD,1,1FDUF5HT2CEA43625,,15.05.2024 16:00 UTC,6.7l 8,Белый,Автоматическая,Дизель,4х4 с задним приводом,,улучшенные транспортные средства,""WOODBURN, WASHINGTON"",$ 0 USD,$ 0 USD,WA - VEHICLE CERT OF OWNERSHIP-TITL,Аренда,Повсюду,шасси,Пожар
2018 Dodge Journey Se,$ 1 450 USD,1,3C4PDCABXJT524622,,15.05.2024 17:00 UTC,2.4l 4,Красный,Автоматическая,Бензин,передний привод,,,""CHICAGO HEIGHTS, ILLINOIS"",$ 0 USD,$ 13 600 USD,IL - SALVAGE CERTIFICATE,Столкновение,Повреждение задней части,,Повреждение стороны
2017 Chevrolet Trax Ls,$ 625 USD,1,3GNCJKSBXHL228520,104 783 mi(подтвержден),15.05.2024 17:00 UTC,1.4l 4,Белый,Автоматическая,Бензин,передний привод,Ключи присутствуют,двигатель запускается,""CHICAGO HEIGHTS, ILLINOIS"",$ 0 USD,$ 9 925 USD,IL - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,4-дверный спорт,
2015 Toyota Camry Le,$ 2 300 USD,2,4T4BF1FK3FR482262,42 966 mi(подтвержден),15.05.2024 17:00 UTC,2.5l 4,Серый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""LEBANON, TENNESSEE"",$ 8 110 USD,$ 11 900 USD,TN - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,
2009 Toyota Corolla Base,$ 1 150 USD,2,JTDBL40E09J003930,167 678 mi,15.05.2024 17:00 UTC,1.8l 4,Зеленый,Автоматическая,Бензин,передний привод,Ключи присутствуют,двигатель запускается,""CHICAGO HEIGHTS, ILLINOIS"",$ 0 USD,$ 7 600 USD,IL - CERTIFICATE OF TITLE,Публичный коносамент,Механическое повреждение,,
2007 Kia Sorento Ex,$ 650 USD,1,KNDJD736075680917,187 348 mi(подтвержден),15.05.2024 19:00 UTC,3.8l 6,Бордовый,Автоматическая,Бензин,задний привод,Ключи присутствуют,заводится и едет,""PHOENIX, ARIZONA"",$ 0 USD,$ 4 625 USD,AZ - CERTIFICATE OF TITLE,Публичный коносамент,Механическое повреждение,,
2014 Ford Econoline E250 Van,$ 300 USD,1,1FTNE2EW4EDA54336,,15.05.2024 16:00 UTC,4.6l 8,Белый,Автоматическая,Бензин,задний привод,Ключи присутствуют,,""SAN DIEGO, CALIFORNIA"",$ 20 738 USD,$ 17 469 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,грузовой фургон,
2019 Volkswagen Atlas Se,$ 13 600 USD,3,1V2WR2CAXKC525065,57 827 mi(подтвержден),15.05.2024 16:00 UTC,3.6l 6,Черный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""ARCADIA, FLORIDA"",$ 0 USD,$ 23 700 USD,FL - CERTIFICATE OF TITLE,Аренда,Повреждение задней части,,Незначительная вмятина/царапины
2023 Ram Promaster 3500 3500 High,$ 15 000 USD,2,3C6MRVJGXPE503026,6 449 mi(подтвержден),15.05.2024 16:00 UTC,3.6l 6,Белый,Автоматическая,Этанолосодержащий бензин,передний привод,Ключи присутствуют,заводится и едет,""MARTINEZ, CALIFORNIA"",$ 0 USD,$ 50 880 USD,CA - SALVAGE CERTIFICATE (P),Дилерские услуги Copart,Повреждение передней части,,Повреждение задней части
2009 Nissan Altima 2.5,$ 525 USD,2,1N4AL21E59C196617,121 529 mi,15.05.2024 17:00 UTC,2.5l 4,Белый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""LEBANON, TENNESSEE"",$ 9 240 USD,$ 7 550 USD,TN - SALVAGE CERTIFICATE,Столкновение,Повреждение стороны,,
2004 Nissan Frontier Crew Cab Xe V6,$ 2 850 USD,1,1N6ED27T14C442423,155 036 mi(подтвержден),15.05.2024 19:00 UTC,3.3l 6,Черный,Автоматическая,Бензин,задний привод,Ключи присутствуют,заводится и едет,""PHOENIX, ARIZONA"",$ 0 USD,$ 0 USD,AZ - CERTIFICATE OF TITLE,Дилерские услуги Copart,Незначительная вмятина/царапины,,
2010 Ford Crown Victoria Police Interceptor,$ 325 USD,1,2FABP7BV9AX139140,,15.05.2024 17:00 UTC,4.6l 8,Черный,,Этанолосодержащий бензин,задний привод,Ключи присутствуют,улучшенные транспортные средства,""NEW ORLEANS, LOUISIANA"",$ 5 263 USD,$ 5 325 USD,LA - CERT OF TITLE-SALVAGE FLOOD,Столкновение,Вода/Наводнение,4-дверный седан,Повсюду
2021 Ford F150 Supercrew,$ 13 400 USD,1,1FTEW1EP9MKE33116,85 665 mi(подтвержден),15.05.2024 17:00 UTC,2.7l 6,Серебряный,Автоматическая,Бензин,4х4 с задним приводом,Ключи присутствуют,заводится и едет,""NEW ORLEANS, LOUISIANA"",$ 27 538 USD,$ 38 000 USD,LA - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,,
2023 Volvo Xc60 Plus,$ 17 800 USD,1,YV4L12RE0P1253308,10 369 mi(подтвержден),15.05.2024 17:00 UTC,2.0l 4,Белый,Автоматическая,Бензин,Полный привод,Ключи присутствуют,улучшенные транспортные средства,""NEW ORLEANS, LOUISIANA"",$ 36 509 USD,$ 42 325 USD,LA - CERTIFICATE OF DESTRUCTION,Вода/Наводнение,Вода/Наводнение,,Повреждение передней части
2013 Ford Escape Sel,$ 2 250 USD,1,1FMCU0HX2DUA75134,130 954 mi(подтвержден),15.05.2024 19:00 UTC,1.6l 4,Серый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""PHOENIX, ARIZONA"",$ 7 480 USD,$ 7 200 USD,AZ - CERT OF TITLE - SALVAGE,Столкновение,Повреждение передней части,4-дверный спорт,
2018 Chevrolet Cruze Lt,$ 1 850 USD,1,1G1BE5SM4J7107769,64 046 mi(подтвержден),15.05.2024 17:00 UTC,1.4l 4,Угольный,Автоматическая,Бензин,передний привод,,улучшенные транспортные средства,""LEBANON, TENNESSEE"",$ 10 627 USD,$ 14 750 USD,TN - SALVAGE CERTIFICATE,Неизвестно,Повреждение передней части,,
2013 Ford Transit Connect Xl,$ 500 USD,1,NM0LS6AN8DT134597,158 740 mi(подтвержден),15.05.2024 16:00 UTC,2.0l 4,Белый,Автоматическая,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,""ARLINGTON, WASHINGTON"",$ 9 822 USD,$ 12 125 USD,WA - BILL OF SALE,Столкновение,Повреждение передней части,,
2016 Ford F150 Supercrew,$ 4 650 USD,1,1FTEW1CPXGKF45883,95 078 mi(подтвержден),15.05.2024 18:00 UTC,2.7l 6,Черный,Автоматическая,Бензин,задний привод,Ключи присутствуют,улучшенные транспортные средства,""COLORADO SPRINGS, TEXAS"",$ 20 956 USD,$ 21 850 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повреждение передней части,,
2014 Hyundai Elantra Se,$ 2 050 USD,1,5NPDH4AE7EH474632,20 239 mi(подтвержден),15.05.2024 17:00 UTC,1.8l 4,Серый,Автоматическая,Бензин,передний привод,,улучшенные транспортные средства,""LEBANON, TENNESSEE"",$ 12 865 USD,$ 7 575 USD,TN - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,Повреждение стороны
2013 Honda Accord Lx,$ 3 200 USD,1,1HGCR2F35DA056727,104 042 mi(подтвержден),15.05.2024 18:00 UTC,2.4l 4,Черный,Автоматическая,Бензин,передний привод,Ключи присутствуют,двигатель запускается,""COLORADO SPRINGS, COLORADO"",$ 9 546 USD,$ 10 200 USD,CO - SALVAGE TITLE,Столкновение,Повреждение передней части,,Повреждение ходовой части
2022 Ford F250 Super Duty,$ 14 900 USD,1,1FT7W2BT2NEF15561,41 166 mi(подтвержден),15.05.2024 17:00 UTC,6.7l 8,Белый,Автоматическая,Дизель,4х4 с задним приводом,Ключи присутствуют,двигатель запускается,""NEW ORLEANS, LOUISIANA"",$ 49 838 USD,$ 56 150 USD,LA - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,,
2018 Honda Fit Lx,$ 1 850 USD,1,3HGGK5H47JM704337,117 282 mi(подтвержден),15.05.2024 17:00 UTC,1.5l 4,Синий,Автоматическая,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,""LEBANON, TENNESSEE"",$ 10 108 USD,$ 15 550 USD,TN - SALVAGE CERTIFICATE,Столкновение,Повреждение задней части,,
2013 Ram Tradesman,$ 550 USD,1,2C4JRGAG3DR814895,126 851 mi(подтвержден),15.05.2024 16:00 UTC,3.6l 6,Белый,Автоматическая,Этанолосодержащий бензин,передний привод,Ключи присутствуют,заводится и едет,""NORTH LAS VEGAS, NEVADA"",$ 12 564 USD,$ 8 725 USD,NV - SALVAGE TITLE,Столкновение,Повреждение задней части,,Повреждение передней части
2010 Nissan Altima Sr,$ 550 USD,1,1N4BL2AP8AC191602,65 900 mi,15.05.2024 17:00 UTC,3.5l 6,Белый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""LEBANON, TENNESSEE"",$ 8 197 USD,$ 6 675 USD,TN - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,Повреждение стороны
2017 Kia Forte Lx,$ 1 250 USD,2,3KPFK4A70HE025457,136 859 mi(подтвержден),15.05.2024 17:00 UTC,2.0l 4,Бордовый,Автоматическая,Бензин,передний привод,Ключи присутствуют,,""NEW ORLEANS, LOUISIANA"",$ 0 USD,$ 12 425 USD,LA - CERTIFICATE OF TITLE,Дилерские услуги Copart,Повреждение передней части,,Механическое повреждение
2018 Chevrolet Silverado K1500 Lt,$ 5 200 USD,1,1GCVKREC5JZ293978,145 493 mi(подтвержден),15.05.2024 17:00 UTC,5.3l 8,Серебряный,Автоматическая,Бензин,4х4 с задним приводом,Ключи присутствуют,заводится и едет,""NEW ORLEANS, MISSISSIPPI"",$ 16 187 USD,$ 27 925 USD,MS - CERT OF TITLE-SALVAGED,Столкновение,Повреждение передней части,,
2019 Toyota Rav4 Le,$ 7 900 USD,1,2T3H1RFV2KW023317,46 983 mi(подтвержден),15.05.2024 17:00 UTC,2.5l 4,Серебряный,Автоматическая,Бензин,передний привод,Ключи присутствуют,двигатель запускается,""LEBANON, TENNESSEE"",$ 24 659 USD,$ 22 750 USD,TN - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,
2021 Toyota Rav4 Le,$ 1 900 USD,1,2T3H1RFV2MW150393,,15.05.2024 16:00 UTC,2.5l 4,Белый,Автоматическая,Бензин,передний привод,,,""NORTH LAS VEGAS, NEVADA"",$ 0 USD,$ 25 975 USD,NV - NON-REPAIRABLE VEHICLE CERT,Аренда,Повсюду,,
2013 Chrysler Town & Country Touring,$ 800 USD,1,2C4RC1BG4DR721268,220 049 mi(подтвержден),15.05.2024 17:00 UTC,3.6l 6,Черный,Автоматическая,Этанолосодержащий бензин,передний привод,,,""NEW ORLEANS, LOUISIANA"",$ 0 USD,$ 6 300 USD,LA - CERTIFICATE OF TITLE,Изьятие,Повреждение стороны,спортивная версия,
2019 Honda Insight Touring,$ 3 300 USD,1,19XZE4F92KE001117,167 283 mi(подтвержден),15.05.2024 17:00 UTC,1.5l 4,Серый,Автоматическая,Гибрид,передний привод,Ключи присутствуют,заводится и едет,""LEBANON, TENNESSEE"",$ 17 271 USD,$ 22 825 USD,TN - SALVAGE CERTIFICATE,Столкновение,Повсюду,,
2013 Nissan Pathfinder S,$ 2 100 USD,1,5N1AR2MM1DC663211,84 220 mi(подтвержден),15.05.2024 18:00 UTC,3.5l 6,Белый,Автоматическая,Бензин,4х4 с передним приводом,Ключи присутствуют,улучшенные транспортные средства,""COLORADO SPRINGS, COLORADO"",$ 12 843 USD,$ 6 325 USD,CO - SALVAGE TITLE,Столкновение,Повреждение передней части,,
2023 Ford Explorer Limited,$ 15 900 USD,1,1FMSK7FH0PGB19107,8 387 mi(подтвержден),15.05.2024 16:00 UTC,2.3l 4,Белый,Автоматическая,Бензин,задний привод,Ключи присутствуют,улучшенные транспортные средства,""BAKERSFIELD, CALIFORNIA"",$ 20 952 USD,$ 40 375 USD,CA - CERT OF TITLE OR SALVAGE ACQ,Столкновение,Повреждение передней части,,
2016 Ford Edge Se,$ 2 350 USD,4,2FMPK3G9XGBB53178,127 050 mi(подтвержден),15.05.2024 19:00 UTC,2.0l 4,Синий,Автоматическая,Бензин,передний привод,Ключи присутствуют,двигатель запускается,""SUN VALLEY, CALIFORNIA"",$ 11 769 USD,$ 10 775 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,
2016 Hyundai Accent Se,$ 2 150 USD,1,KMHCT4AE2GU089428,86 496 mi(подтвержден),15.05.2024 17:00 UTC,1.6l 4,Серебряный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""NEW ORLEANS, LOUISIANA"",$ 7 177 USD,$ 8 475 USD,LA - CERT OF TITLE-SALVAGE,Материальный ущерб,Повреждение задней части,4-дверный седан,Повреждение стороны
2016 Chevrolet Malibu Limited Lt,$ 325 USD,1,1G11C5SA1GF154733,,15.05.2024 17:00 UTC,2.5l 4,Желто-коричневый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""NEW ORLEANS, LOUISIANA"",$ 10 363 USD,$ 10 150 USD,LA - CERT OF TITLE-SALVAGE,Столкновение,Повреждение задней части,,Повреждение передней части
2010 Bmw X5 Xdrive30i,$ 250 USD,9,5UXFE4C58AL380245,,15.05.2024 19:00 UTC,3.0l 6,Серебряный,Автоматическая,Бензин,Полный привод,,,""SUN VALLEY, CALIFORNIA"",$ 0 USD,$ 5 875 USD,CA - CERT OF TITLE OR SALVAGE ACQ,Публичный коносамент,Повсюду,,
2006 Infiniti M35 Base,$ 125 USD,4,JNKAY01E16M103807,149 160 mi,15.05.2024 17:00 UTC,3.5l 6,Черный,Автоматическая,Бензин,задний привод,Ключи присутствуют,улучшенные транспортные средства,""NEW ORLEANS, LOUISIANA"",$ 0 USD,$ 3 475 USD,LA - CERTIFICATE OF TITLE,Публичный коносамент,Механическое повреждение,,Повреждение передней части
2022 Ford F250 Super Duty,$ 34 250 USD,3,1FT7W2BT3NEG35269,55 403 mi(подтвержден),15.05.2024 16:00 UTC,6.7l 8,Белый,Автоматическая,Дизель,4х4 с задним приводом,Ключи присутствуют,заводится и едет,""COLUMBIA STATION, OHIO"",$ 0 USD,$ 56 950 USD,OH - CERTIFICATE OF TITLE (P),Аренда,Повреждение задней части,,Незначительная вмятина/царапины
2019 Bmw M5,$ 23 300 USD,1,WBSJF0C56KB284468,,15.05.2024 17:00 UTC,4.4l 8,Серебряный,Автоматическая,Бензин,Полный привод,Ключи присутствуют,,""NEW ORLEANS, LOUISIANA"",$ 51 808 USD,$ 57 500 USD,LA - CERTIFICATE OF DESTRUCTION,Вода/Наводнение,Вода/Наводнение,,Разукомплектовано
2016 Ford Transit Connect Xl,$ 3 550 USD,2,NM0LS7E75G1286256,116 323 mi(подтвержден),15.05.2024 16:00 UTC,2.5l 4,Белый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""SAN MARTIN, CALIFORNIA"",$ 0 USD,$ 18 750 USD,CA - SALVAGE CERTIFICATE,Столкновение,Незначительная вмятина/царапины,,
2019 Ram Promaster 2500 2500 High,$ 8 100 USD,2,3C6TRVDG1KE527313,87 095 mi(подтвержден),15.05.2024 16:00 UTC,3.6l 6,Белый,Автоматическая,Этанолосодержащий бензин,передний привод,Ключи присутствуют,заводится и едет,""AIRWAY HEIGHTS, WASHINGTON"",$ 16 014 USD,$ 31 850 USD,WA - VEHICLE CERT OF OWNERSHIP-TITL,Катастрофа,Повреждение стороны,,
2013 Subaru Outback 2.5i Premium,$ 1 250 USD,1,4S4BRCCC1D3255553,117 895 mi(подтвержден),15.05.2024 18:00 UTC,2.5l 4,Красный,Автоматическая,Бензин,Полный привод,Ключи присутствуют,улучшенные транспортные средства,""COLORADO SPRINGS, COLORADO"",$ 7 075 USD,$ 8 775 USD,CO - SALVAGE TITLE,Столкновение,Повреждение передней части,,
2020 Kia Rio Lx,$ 2 900 USD,1,3KPA24AD2LE312310,44 937 mi(подтвержден),15.05.2024 19:00 UTC,1.6l 4,Серебряный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""PHOENIX, ARIZONA"",$ 9 198 USD,$ 14 250 USD,AZ - CERT OF TITLE - SALVAGE,Кража,Повреждение стороны,,
1994 Jeep Cherokee Sport,$ 250 USD,1,1J4FJ68S2RL245419,293 894 mi,15.05.2024 18:00 UTC,4.0l 6,Зеленый,Автоматическая,Бензин,4х4 с задним приводом,Ключи присутствуют,улучшенные транспортные средства,""COLORADO SPRINGS, COLORADO"",$ 3 321 USD,$ 0 USD,CO - SALVAGE TITLE,Столкновение,Повреждение передней части,,Повреждение ходовой части
2013 Nissan Rogue S,$ 725 USD,2,JN8AS5MV7DW626637,96 833 mi(подтвержден),15.05.2024 18:00 UTC,2.5l 4,Белый,Автоматическая,Бензин,Полный привод,Ключи присутствуют,улучшенные транспортные средства,""COLORADO SPRINGS, COLORADO"",$ 6 277 USD,$ 7 725 USD,CO - BILL OF SALE-PARTS ONLY,Столкновение,Повреждение стороны,4-дверный спорт,Повреждение задней части
2011 Lincoln Mkx,$ 775 USD,1,2LMDJ6JK4BBJ29703,104 115 mi(подтвержден),15.05.2024 18:00 UTC,3.7l 6,Серебряный,,Бензин,передний привод,Ключи присутствуют,двигатель запускается,""COLORADO SPRINGS, COLORADO"",$ 13 318 USD,$ 10 925 USD,CO - BILL OF SALE-PARTS ONLY,Столкновение,Повреждение передней части,,Повреждение стороны
2022 Ford Explorer Platinum,$ 10 300 USD,1,1FM5K8HCXNGB66226,22 393 mi(подтвержден),15.05.2024 18:00 UTC,3.0l 6,Серый,Автоматическая,Бензин,4х4 с задним приводом,Ключи присутствуют,улучшенные транспортные средства,""COLORADO SPRINGS, COLORADO"",$ 0 USD,$ 45 100 USD,CO - SALVAGE TITLE,Столкновение,Повреждение передней части,,Механическое повреждение
2016 Ford Focus Se,$ 1 350 USD,2,1FADP3K23GL247749,116 108 mi(подтвержден),15.05.2024 17:00 UTC,2.0l 4,Серебряный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""LEBANON, KENTUCKY"",$ 0 USD,$ 9 500 USD,KY - CERTIFICATE OF TITLE (P),Дилерские услуги Copart,Повреждение стороны,хэтчбек,
2020 Chevrolet Express G2500,$ 17 000 USD,1,1GCWGAFP4L1238559,47 746 mi(подтвержден),15.05.2024 16:00 UTC,4.3l 6,Белый,Автоматическая,Бензин,задний привод,Ключи присутствуют,заводится и едет,""SAN DIEGO, CALIFORNIA"",$ 0 USD,$ 0 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение задней части,,
2013 Mazda 6 Touring,$ 150 USD,2,1YVHZ8DHXD5M12906,,15.05.2024 17:00 UTC,2.5l 4,Угольный,Автоматическая,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,""LEBANON, TENNESSEE"",$ 4 441 USD,$ 8 850 USD,TN - CERT OF TITLE-REBUILT VEHICLE,Столкновение,Повреждение передней части,4-дверный седан,
2017 Volvo Xc90 T6,$ 7 500 USD,1,YV4A22PK4H1117259,127 245 mi(подтвержден),15.05.2024 17:00 UTC,2.0l 4,Серый,Автоматическая,Бензин,Полный привод,Ключи присутствуют,заводится и едет,""NEW ORLEANS, LOUISIANA"",$ 20 475 USD,$ 21 150 USD,LA - CERT OF TITLE-SALVAGE,Неизвестно,Повреждение передней части,,
2008 Chevrolet Silverado C1500,$ 1 250 USD,1,1GCEC14C88Z222686,161 839 mi(подтвержден),15.05.2024 18:00 UTC,4.8l 8,Белый,Автоматическая,Бензин,задний привод,Ключи присутствуют,улучшенные транспортные средства,""COLORADO SPRINGS, COLORADO"",$ 5 929 USD,$ 8 525 USD,CO - SALVAGE TITLE,Столкновение,Повреждение передней части,,Повреждение ходовой части
2012 Honda Civic Lx,$ 375 USD,3,2HGFG3B51CH564063,212 296 mi(подтвержден),15.05.2024 17:00 UTC,1.8l 4,Белый,Автоматическая,Бензин,передний привод,Ключи присутствуют,двигатель запускается,""LEBANON, TENNESSEE"",$ 4 565 USD,$ 8 175 USD,TN - CERTIFICATE OF TITLE,Неизвестно,Повсюду,купе,Незначительная вмятина/царапины
2013 Ford Econoline E150 Van,$ 90 USD,1,1FTNE1EW8DDA29528,,15.05.2024 16:00 UTC,4.6l 8,Белый,Автоматическая,Бензин,задний привод,Ключи присутствуют,улучшенные транспортные средства,""PORTLAND, OREGON"",$ 18 675 USD,$ 0 USD,OR - SALVAGE TITLE CERTIFICATE,Столкновение,Повсюду,,
2014 Toyota Avalon Base,$ 2 600 USD,1,4T1BK1EB4EU089621,62 838 mi(подтвержден),15.05.2024 17:00 UTC,3.5l 6,Темно-бордовый,Автоматическая,Бензин,передний привод,Ключи присутствуют,,""LEBANON, TENNESSEE"",$ 17 109 USD,$ 14 550 USD,TN - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,Незначительная вмятина/царапины
2014 Mercedes-benz Glk 350,$ 3 300 USD,1,WDCGG5HB6EG162379,134 337 mi(подтвержден),15.05.2024 19:00 UTC,3.5l 6,Черный,Автоматическая,Бензин,задний привод,Ключи присутствуют,заводится и едет,""SUN VALLEY, CALIFORNIA"",$ 12 240 USD,$ 11 100 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение задней части,,
2023 Mercedes-benz Glb 250,$ 15 300 USD,1,W1N4M4GB2PW292724,7 835 mi(подтвержден),15.05.2024 17:00 UTC,2.0l 4,Черный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""NEW ORLEANS, LOUISIANA"",$ 30 879 USD,$ 39 825 USD,LA - CERT OF TITLE-SALVAGE,Столкновение,Повсюду,,
